"","regulatory regions","TF motif","motif score","Target_gene"
"1","chr1_52056969_52057811_Stat1","PPARG",9.28519560081405,"Stat1"
"2","chr10_42144985_42145901_Foxo3","PPARG",13.2842572946618,"Foxo3"
"3","chr10_42269099_42269997_Foxo3","PPARG",9.51279762521348,"Foxo3"
"4","chr14_17414087_17414969_Thrb","PPARG",9.48594414424061,"Thrb"
"5","chr19_55758805_55759698_Tcf7l2","PPARG",11.1162942217025,"Tcf7l2"
"6","chr4_154480068_154480787_Prdm16","PPARG",9.5580321042519,"Prdm16"
"7","chr5_77192977_77193828_Rest","PPARG",9.49093007646788,"Rest"
"8","chr5_136394557_136395437_Cux1","PPARG",9.661418325512,"Cux1"
"9","chr6_72736650_72737562_Tcf7l1","PPARG",12.9966772073852,"Tcf7l1"
"10","chr6_72740374_72741224_Tcf7l1","PPARG",9.30904950917502,"Tcf7l1"
"11","chr6_72623733_72624668_Tcf7l1","PPARG",12.66206870032,"Tcf7l1"
"12","chr9_63968292_63969164_Smad3","PPARG",10.0090247661924,"Smad3"
"13","chr10_57499390_57500288_Hsf2","PPARG",11.0032699205409,"Hsf2"
"14","chr16_50594630_50595552_Bbx","PPARG",12.6314347560073,"Bbx"
"15","chr19_41347059_41347958_Lcor","PPARG",12.5358747092959,"Lcor"
"16","chr5_122026506_122027336_Cux2","PPARG",11.3017784756821,"Cux2"
"17","chr12_73867321_73868208_Hif1a","PPARG",9.26923671476188,"Hif1a"
"18","chr6_115127038_115127949_Pparg","PPARG",11.6367317934137,"Pparg"
"19","chr18_5817539_5818092_Zeb1","PPARG",13.1730331643058,"Zeb1"
"20","chr18_5440315_5441168_Zeb1","PPARG",17.2812497955041,"Zeb1"
"21","chr2_33875080_33875948_Lmx1b","PPARG",12.617362890402,"Lmx1b"
"22","chr2_168677464_168678298_Nfatc2","PPARG",10.6373170582477,"Nfatc2"
"23","chr10_128033088_128033928_Stat2","PPARG",15.1391542835214,"Stat2"
"24","chr16_29903269_29904165_Hes1","PPARG",9.46436642658691,"Hes1"
"25","chr17_86537064_86537781_Epas1","PPARG",20.0436887485378,"Epas1"
"26","chr19_28776635_28777530_Glis3","PPARG",11.4330867363621,"Glis3"
"27","chr2_75772323_75773240_Nfe2l2","PPARG",9.35402187566759,"Nfe2l2"
"28","chr7_19282250_19283088_Fosb","PPARG",13.4163883045079,"Fosb"
"29","chr10_87493199_87494036_Ascl1","PPARG",13.9868687113448,"Ascl1"
"30","chr16_92616619_92617511_Runx1","PBX1",12.6119450287112,"Runx1"
"31","chr2_103343360_103344271_Ehf","PBX1",12.7760113320795,"Ehf"
"32","chr2_103111444_103112324_Ehf","PBX1",12.6325616090622,"Ehf"
"33","chr9_63698498_63699390_Smad3","PBX1",13.2445445877886,"Smad3"
"34","chr12_73046310_73047228_Six4","PBX1",14.1042579024831,"Six4"
"35","chr16_42911576_42912474_Zbtb20","PBX1",11.7077765245664,"Zbtb20"
"36","chr5_122280677_122281225_Cux2","PBX1",13.0047740126848,"Cux2"
"37","chr5_121819831_121820663_Cux2","PBX1",11.4955734663341,"Cux2"
"38","chr1_168583880_168584796_Pbx1","PBX1",13.6394241934022,"Pbx1"
"39","chr1_168433576_168434300_Pbx1","PBX1",16.6485626683456,"Pbx1"
"40","chr6_115127038_115127949_Pparg","PBX1",12.0679320269996,"Pparg"
"41","chr9_32745854_32746768_Ets1","PBX1",15.5826738871335,"Ets1"
"42","chr9_44914472_44915382_Kmt2a","PBX1",12.9716692525744,"Kmt2a"
"43","chr9_44806970_44807892_Kmt2a","PBX1",14.5619310773281,"Kmt2a"
"44","chr12_73046310_73047228_Six1","PBX1",14.1042579024831,"Six1"
"45","chr2_33555240_33556117_Lmx1b","PBX1",13.0071774685675,"Lmx1b"
"46","chr2_168677464_168678298_Nfatc2","PBX1",11.4955734663341,"Nfatc2"
"47","chr3_99174692_99175588_Tbx15","PBX1",11.6017031012724,"Tbx15"
"48","chr10_128143401_128144302_Stat2","PBX1",11.5787404946203,"Stat2"
"49","chr12_85368578_85369508_Fos","PBX1",11.7210400613132,"Fos"
"50","chr16_29903269_29904165_Hes1","PBX1",11.8287388224136,"Hes1"
"51","chr16_87665124_87665986_Bach1","PBX1",16.6205891231204,"Bach1"
"52","chr17_86731819_86732726_Epas1","PBX1",15.3902915036987,"Epas1"
"53","chr19_28776635_28777530_Glis3","PBX1",12.9288859711249,"Glis3"
"54","chr19_28621360_28622273_Glis3","PBX1",11.696242325402,"Glis3"
"55","chr1_39317682_39318597_Npas2","RORA",13.471812099104,"Npas2"
"56","chr1_85810513_85811366_Sp100","RORA",12.9452743194399,"Sp100"
"57","chr10_42088784_42089626_Foxo3","RORA",12.9687317072165,"Foxo3"
"58","chr10_42251011_42251888_Foxo3","RORA",13.3997271362913,"Foxo3"
"59","chr12_35712342_35713257_Ahr","RORA",13.218912947775,"Ahr"
"60","chr14_16508490_16509406_Rarb","RORA",15.0660681637745,"Rarb"
"61","chr15_36993232_36994148_Grhl2","RORA",14.1207762188836,"Grhl2"
"62","chr16_92673920_92674806_Runx1","RORA",13.0745548700801,"Runx1"
"63","chr16_92656525_92657434_Runx1","RORA",15.0660681637745,"Runx1"
"64","chr16_92616619_92617511_Runx1","RORA",13.0745548700801,"Runx1"
"65","chr2_103343360_103344271_Ehf","RORA",12.4242313123593,"Ehf"
"66","chr2_103466910_103467811_Ehf","RORA",13.3997271362913,"Ehf"
"67","chr2_103111444_103112324_Ehf","RORA",14.2265993817472,"Ehf"
"68","chr4_154700751_154701666_Prdm16","RORA",14.1207762188836,"Prdm16"
"69","chr4_154526034_154526936_Prdm16","RORA",14.6893628108311,"Prdm16"
"70","chr5_77383954_77384814_Rest","RORA",12.2324429612176,"Rest"
"71","chr5_77126155_77127056_Rest","RORA",13.218912947775,"Rest"
"72","chr5_136394557_136395437_Cux1","RORA",14.6893628108311,"Cux1"
"73","chr6_72623733_72624668_Tcf7l1","RORA",14.6893628108311,"Tcf7l1"
"74","chr6_144620882_144621778_Sox5","RORA",12.4544351914004,"Sox5"
"75","chr6_144919469_144920366_Sox5","RORA",12.7492030626821,"Sox5"
"76","chr7_112728073_112728930_Tead1","RORA",12.9452743194399,"Tead1"
"77","chr8_84656569_84657470_Nfix","RORA",13.3997271362913,"Nfix"
"78","chr9_63612505_63613394_Smad3","RORA",12.3617235118579,"Smad3"
"79","chr9_63563192_63564081_Smad3","RORA",15.0660681637745,"Smad3"
"80","chr12_73035322_73036124_Six4","RORA",12.3086304712961,"Six4"
"81","chr19_41628947_41629794_Lcor","RORA",13.1550457093324,"Lcor"
"82","chr5_121853508_121854406_Cux2","RORA",12.9452743194399,"Cux2"
"83","chr5_122026506_122027336_Cux2","RORA",14.0403986910515,"Cux2"
"84","chr12_73867321_73868208_Hif1a","RORA",12.9452743194399,"Hif1a"
"85","chr6_115127038_115127949_Pparg","RORA",14.6893628108311,"Pparg"
"86","chr12_73035322_73036124_Six1","RORA",12.3086304712961,"Six1"
"87","chr18_5817539_5818092_Zeb1","RORA",12.8648039037453,"Zeb1"
"88","chr18_35021905_35022746_Egr1","RORA",13.1550457093324,"Egr1"
"89","chr2_33874109_33874942_Lmx1b","RORA",12.3086304712961,"Lmx1b"
"90","chr2_33582329_33583245_Lmx1b","RORA",14.2265993817472,"Lmx1b"
"91","chr2_168798869_168799800_Nfatc2","RORA",12.686895778069,"Nfatc2"
"92","chr12_85684283_85685151_Fos","RORA",12.4880985508019,"Fos"
"93","chr12_85368578_85369508_Fos","RORA",14.6893628108311,"Fos"
"94","chr16_30066568_30067446_Hes1","RORA",12.7492030626821,"Hes1"
"95","chr16_30008537_30009411_Hes1","RORA",12.9687317072165,"Hes1"
"96","chr17_86537064_86537781_Epas1","RORA",12.8648039037453,"Epas1"
"97","chr17_86532745_86533532_Epas1","RORA",13.3997271362913,"Epas1"
"98","chr19_28776635_28777530_Glis3","RORA",13.0951067461606,"Glis3"
"99","chr2_75772323_75773240_Nfe2l2","RORA",12.8648039037453,"Nfe2l2"
"100","chr4_32365920_32366833_Bach2","RORA",13.5137680235249,"Bach2"
"101","chr4_32246564_32247450_Bach2","RORA",13.3275673328293,"Bach2"
"102","chr4_95076178_95076893_Jun","RORA",12.3086304712961,"Jun"
"103","chr4_95187873_95188784_Jun","RORA",14.4171040439949,"Jun"
"104","chr7_19316346_19317199_Fosb","RORA",15.7788995219967,"Fosb"
"105","chr8_84749294_84750179_Junb","RORA",13.1370626705816,"Junb"
"106","chr8_84914956_84915833_Junb","RORA",12.6853358242395,"Junb"
"107","chr9_21021731_21022629_Icam1","RORA",12.3101904251257,"Icam1"
"108","chr9_20992954_20993843_Icam1","RORA",13.0745548700801,"Icam1"
"109","chr10_43783036_43783953_Cd24a","RORA",12.5920263542732,"Cd24a"
"110","chr17_87609379_87610239_Epcam","RORA",12.3822753879384,"Epcam"
"111","chr17_87522263_87523151_Epcam","RORA",12.3086304712961,"Epcam"
"112","chr17_87490136_87491034_Epcam","RORA",15.7788995219967,"Epcam"
"113","chr10_42134921_42135824_Foxo3","SOX9",12.7017829853369,"Foxo3"
"114","chr14_17457616_17458515_Thrb","SOX9",11.676831559524,"Thrb"
"115","chr14_17414087_17414969_Thrb","SOX9",11.2707371628099,"Thrb"
"116","chr2_103325053_103325954_Ehf","SOX9",11.2707371628099,"Ehf"
"117","chr3_135885882_135886652_Nfkb1","SOX9",13.167338294769,"Nfkb1"
"118","chr4_82470275_82471067_Nfib","SOX9",13.4593649039425,"Nfib"
